date,crude_oil_avg,coal_australia,natural_gas_us,fertiliser_urea,phosphate_rock
2004-09-19,43.11477503977513,57.82532051282051,5.588385780884615,206.93333333333334,44.0
2004-09-26,43.26201872201872,57.62179487179487,5.615914918413846,208.46666666666667,44.0
2004-10-03,43.40926240426231,57.41826923076923,5.6434440559430765,210.0,44.0
2004-10-10,43.5565060865059,57.21474358974359,5.6709731934723075,211.53333333333333,44.0
2004-10-17,43.70374976874949,57.01121794871795,5.698502331001539,213.06666666666666,44.0
2004-10-24,43.85099345099308,56.80769230769231,5.72603146853077,214.6,44.0
2004-10-31,43.99823713323667,56.604166666666664,5.75356060606,216.13333333333333,44.0
2004-11-07,44.145480815480255,56.40064102564103,5.781089743589231,217.66666666666666,44.0
2004-11-14,44.292724497723846,56.19711538461539,5.808618881118462,219.2,44.0
2004-11-21,44.43996817996744,55.993589743589745,5.836148018647693,220.73333333333332,44.0
2004-11-28,44.58721186221103,55.7900641025641,5.863677156176923,222.26666666666665,44.0
2004-12-05,44.73445554445462,55.58653846153846,5.891206293706154,223.79999999999998,44.0
2004-12-12,44.88169922669821,55.38301282051282,5.918735431235385,225.33333333333331,44.0
2004-12-19,45.028942908941794,55.17948717948718,5.946264568764615,226.86666666666667,44.0
2004-12-26,45.176186591185385,54.97596153846154,5.973793706293846,228.4,44.0
2005-01-02,45.323430273428976,54.7724358974359,6.001322843823077,229.93333333333334,44.0
2005-01-09,45.47067395567257,54.568910256410255,6.028851981352308,231.46666666666667,44.0
2005-01-16,45.61791763791616,54.36538461538461,6.056381118881538,233.0,44.0
2005-01-23,45.76516132015975,54.16185897435897,6.083910256410769,234.53333333333333,44.0
2005-01-30,45.91240500240333,53.958333333333336,6.1114393939400005,236.06666666666666,44.0
2005-02-06,46.05964868464692,53.75480769230769,6.138968531469231,237.6,44.0
2005-02-13,46.206892366890514,53.55128205128205,6.166497668998462,239.13333333333333,44.0
2005-02-20,46.354136049134105,53.34775641025641,6.194026806527693,240.66666666666666,44.0
2005-02-27,46.501379731377696,53.14423076923077,6.221555944056924,242.2,44.0
2005-03-06,46.64862341362128,52.94070512820513,6.249085081586154,243.73333333333332,44.0
2005-03-13,46.79586709586487,52.73717948717949,6.276614219115385,245.26666666666665,44.0
2005-03-20,46.94311077810846,52.53365384615385,6.304143356644616,246.8,44.0
2005-03-27,47.09035446035205,52.330128205128204,6.331672494173846,248.33333333333334,44.0
2005-04-03,47.237598142595644,52.12660256410256,6.359201631703077,249.86666666666667,44.0
